iter	Passed	Remaining
402	10852	16076
403	10877	16046
404	10899	16012
405	10922	15979
406	10944	15946
407	10969	15916
408	10993	15885
409	11020	15858
410	11046	15831
411	11071	15800
412	11095	15769
413	11119	15739
414	11145	15711
415	11171	15682
416	11198	15655
417	11222	15625
418	11249	15598
419	11272	15566
420	11295	15535
421	11317	15501
422	11339	15468
423	11365	15440
424	11423	15455
425	11466	15449
426	11509	15444
427	11539	15422
428	11568	15397
429	11603	15381
430	11633	15358
431	11661	15333
432	11690	15308
433	11716	15280
434	11740	15249
435	11769	15224
436	11799	15201
437	11832	15181
438	11892	15196
439	11927	15180
440	11957	15156
441	11986	15132
442	12014	15106
443	12043	15081
444	12070	15054
445	12098	15027
446	12122	14996
447	12145	14965
448	12173	14938
449	12202	14913
450	12228	14885
451	12254	14857
452	12279	14827
453	12303	14796
454	12325	14764
455	12350	14734
456	12382	14712
457	12412	14688
458	12444	14668
459	12479	14649
460	12517	14635
461	12549	14614
462	12609	14624
463	12655	14619
464	12702	14614
465	12740	14600
466	12776	14581
467	12826	14580
468	12866	14567
469	12899	14546
470	12935	14528
471	12970	14509
472	13003	14488
473	13034	14464
474	13063	14438
475	13099	14420
476	13138	14405
477	13209	14425
478	13247	14409
479	13302	14411
480	13335	14389
481	13372	14371
482	13408	14352
483	13443	14331
484	13485	14320
485	13520	14299
486	13550	14274
487	13579	14247
488	13611	14224
489	13641	14197
490	13671	14172
491	13699	14144
492	13729	14119
493	13753	14087
494	13779	14057
495	13804	14027
496	13831	13998
497	13855	13966
498	13879	13935
499	13903	13903
500	13930	13875
501	13954	13843
502	13978	13812
503	14004	13782
504	14028	13751
505	14055	13722
506	14081	13692
507	14107	13663
508	14134	13634
509	14157	13602
510	14182	13572
511	14207	13541
512	14231	13510
513	14259	13482
514	14283	13451
515	14306	13418
516	14330	13387
517	14352	13355
518	14373	13321
519	14399	13292
520	14422	13260
521	14444	13226
522	14470	13197
523	14494	13166
524	14520	13137
525	14543	13105
526	14569	13076
527	14592	13045
528	14613	13011
529	14637	12980
530	14662	12950
531	14686	12919
532	14712	12890
533	14737	12860
534	14763	12831
535	14789	12802
536	14815	12773
537	14838	12742
538	14861	12710
539	14884	12679
540	14906	12647
541	14926	12613
542	14948	12580
543	14971	12549
544	14993	12517
545	15016	12486
546	15039	12455
547	15062	12424
548	15086	12393
549	15108	12361
550	15129	12328
551	15153	12298
552	15176	12267
553	15198	12235
554	15220	12203
555	15244	12173
556	15267	12142
557	15290	12111
558	15315	12082
559	15338	12051
560	15360	12020
561	15383	11989
562	15406	11958
563	15431	11929
564	15452	11896
565	15474	11865
566	15498	11835
567	15522	11805
568	15545	11775
569	15568	11744
570	15591	11714
571	15612	11682
572	15633	11650
573	15656	11619
574	15677	11587
575	15701	11557
576	15725	11528
577	15748	11497
578	15770	11467
579	15794	11437
580	15816	11406
581	15840	11377
582	15867	11349
583	15892	11320
584	15915	11290
585	15938	11260
586	15961	11230
587	15983	11199
588	16006	11169
589	16029	11139
590	16053	11109
591	16077	11080
592	16099	11049
593	16124	11020
594	16146	10990
595	16170	10961
596	16192	10930
597	16215	10900
598	16238	10870
599	16262	10841
600	16284	10810
601	16307	10781
602	16331	10752
603	16354	10722
604	16377	10692
605	16401	10663
606	16423	10633
607	16446	10603
608	16469	10573
609	16491	10543
610	16514	10514
611	16536	10483
612	16559	10454
613	16582	10425
614	16608	10397
615	16630	10367
616	16653	10337
617	16676	10308
618	16698	10278
619	16721	10248
620	16743	10218
621	16765	10188
622	16788	10159
623	16809	10128
624	16832	10099
625	16855	10070
626	16877	10040
627	16900	10011
628	16923	9981
629	16945	9952
630	16966	9921
631	16987	9891
632	17008	9861
633	17029	9830
634	17051	9801
635	17071	9770
636	17090	9739
637	17112	9709
638	17136	9680
639	17156	9650
640	17181	9622
641	17203	9593
642	17226	9564
643	17249	9535
644	17272	9506
645	17296	9478
646	17318	9449
647	17339	9419
648	17361	9389
649	17385	9361
650	17416	9336
651	17439	9308
652	17463	9280
653	17486	9251
654	17510	9222
655	17532	9193
656	17554	9164
657	17577	9135
658	17601	9107
659	17626	9080
660	17650	9052
661	17674	9024
662	17697	8995
663	17719	8966
664	17741	8937
665	17763	8908
666	17786	8880
667	17810	8851
668	17831	8822
669	17851	8792
670	17871	8762
671	17891	8732
672	17911	8702
673	17931	8673
674	17952	8643
675	17975	8615
676	17995	8585
677	18017	8556
678	18037	8527
679	18058	8498
680	18080	8469
681	18102	8440
682	18123	8411
683	18144	8382
684	18167	8354
685	18188	8325
686	18210	8296
687	18233	8268
688	18255	8240
689	18278	8211
690	18302	8184
691	18326	8156
692	18350	8129
693	18375	8102
694	18397	8073
695	18419	8045
696	18443	8017
697	18466	7989
698	18489	7961
699	18514	7934
700	18547	7911
701	18568	7882
702	18591	7854
703	18616	7827
704	18638	7799
705	18661	7771
706	18684	7743
707	18707	7715
708	18731	7688
709	18753	7659
710	18775	7631
711	18798	7603
712	18820	7575
713	18843	7548
714	18865	7520
715	18887	7491
716	18909	7463
717	18934	7436
718	18960	7410
719	18982	7382
720	19004	7354
721	19027	7326
722	19050	7298
723	19072	7270
724	19095	7243
725	19116	7214
726	19137	7186
727	19159	7158
728	19180	7130
729	19201	7102
730	19222	7073
731	19245	7046
732	19263	7016
733	19284	6988
734	19305	6960
735	19327	6932
736	19349	6905
737	19370	6876
738	19390	6848
739	19410	6819
740	19430	6791
741	19453	6764
742	19474	6736
743	19496	6708
744	19518	6680
745	19538	6652
746	19558	6624
747	19577	6595
748	19598	6567
749	19619	6539
750	19640	6511
751	19660	6483
752	19681	6456
753	19703	6428
754	19723	6400
755	19745	6372
756	19766	6345
757	19788	6317
758	19810	6290
759	19833	6263
760	19856	6236
761	19878	6208
762	19899	6181
763	19922	6154
764	19947	6127
765	19969	6100
766	19993	6073
767	20016	6046
768	20038	6019
769	20060	5992
770	20083	5965
771	20107	5938
772	20130	5911
773	20154	5884
774	20177	5857
775	20200	5831
776	20229	5805
777	20257	5780
778	20283	5754
779	20310	5728
780	20336	5702
781	20364	5677
782	20390	5651
783	20414	5624
784	20436	5597
785	20459	5570
786	20480	5542
787	20503	5516
788	20528	5489
789	20551	5463
790	20576	5436
791	20598	5409
792	20621	5382
793	20643	5355
794	20664	5328
795	20687	5301
796	20709	5274
797	20732	5247
798	20753	5220
799	20778	5194
800	20802	5168
801	20823	5140
802	20843	5113
803	20864	5086
804	20885	5059
805	20906	5032
806	20926	5004
807	20948	4977
808	20970	4950
809	20989	4923
810	21010	4896
811	21031	4869
812	21051	4842
813	21071	4814
814	21092	4787
815	21113	4760
816	21134	4733
817	21159	4707
818	21183	4681
819	21208	4655
820	21231	4628
821	21255	4602
822	21278	4576
823	21302	4550
824	21326	4523
825	21349	4497
826	21373	4471
827	21396	4444
828	21421	4418
829	21444	4392
830	21466	4365
831	21490	4339
832	21513	4313
833	21537	4286
834	21560	4260
835	21582	4233
836	21606	4207
837	21629	4181
838	21652	4155
839	21676	4128
840	21702	4102
841	21724	4076
842	21748	4050
843	21773	4024
844	21794	3997
845	21818	3971
846	21844	3946
847	21870	3920
848	21892	3893
849	21917	3867
850	21950	3843
851	21974	3817
852	21999	3791
853	22024	3765
854	22047	3739
855	22072	3713
856	22097	3687
857	22121	3661
858	22145	3635
859	22168	3608
860	22194	3583
861	22216	3556
862	22240	3530
863	22263	3504
864	22285	3478
865	22311	3452
866	22334	3426
867	22359	3400
868	22382	3374
869	22405	3347
870	22431	3322
871	22457	3296
872	22481	3270
873	22505	3244
874	22528	3218
875	22551	3192
876	22572	3165
877	22594	3139
878	22615	3113
879	22637	3086
880	22659	3060
881	22683	3034
882	22705	3008
883	22729	2982
884	22751	2956
885	22774	2930
886	22797	2904
887	22820	2878
888	22842	2852
889	22866	2826
890	22889	2800
891	22912	2774
892	22935	2748
893	22957	2722
894	22979	2695
895	23002	2669
896	23026	2644
897	23049	2618
898	23070	2591
899	23095	2566
900	23117	2540
901	23141	2514
902	23164	2488
903	23187	2462
904	23212	2436
905	23234	2410
906	23257	2384
907	23279	2358
908	23301	2332
909	23324	2306
910	23347	2280
911	23370	2255
912	23391	2228
913	23414	2203
914	23436	2177
915	23458	2151
916	23483	2125
917	23505	2099
918	23528	2073
919	23551	2047
920	23576	2022
921	23599	1996
922	23622	1970
923	23644	1944
924	23668	1919
925	23690	1893
926	23714	1867
927	23736	1841
928	23758	1815
929	23780	1789
930	23802	1764
931	23823	1738
932	23847	1712
933	23869	1686
934	23894	1661
935	23916	1635
936	23940	1609
937	23963	1583
938	23986	1558
939	24012	1532
940	24035	1507
941	24059	1481
942	24082	1455
943	24103	1429
944	24126	1404
945	24150	1378
946	24173	1352
947	24195	1327
948	24217	1301
949	24238	1275
950	24258	1249
951	24279	1224
952	24300	1198
953	24322	1172
954	24342	1147
955	24362	1121
956	24382	1095
957	24404	1069
958	24428	1044
959	24451	1018
960	24473	993
961	24496	967
962	24519	942
963	24542	916
964	24565	890
965	24588	865
966	24610	839
967	24634	814
968	24658	788
969	24682	763
970	24705	737
971	24728	712
972	24751	686
973	24774	661
974	24796	635
975	24816	610
976	24838	584
977	24859	559
978	24880	533
979	24901	508
980	24922	482
981	24944	457
982	24965	431
983	24988	406
984	25009	380
985	25030	355
986	25052	329
987	25072	304
988	25094	279
989	25117	253
990	25143	228
991	25166	202
992	25191	177
993	25214	152
994	25235	126
995	25260	101
996	25282	76
997	25302	50
998	25325	25
999	25349	0
